Product_ID,Product_Name,Brand,Category,Car_Model,Year_Compatibility,Cost_Price_USD,Sales_Price_USD,Stock_Level,Country_of_Origin,Supplier_Code,Warranty_Months,Weight_kg,Discontinued,Date_Added,Performance_Tier,Last_Updated
ENG-1909-3503,Apexi Intercooler Kit (Toyota 86 / Subaru BRZ (ZN6/ZC6)),Apexi,Engine & Performance,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,1629.62,2286.06,0,Japan,SUP-APE-MPG,0,9.76,FALSE,9/22/2019,Premium,5/7/2024
ENG-2102-8995,BLITZ Intercooler Kit (Nissan Skyline R33 GT-R),BLITZ,Engine & Performance,Nissan Skyline R33 GT-R,1995–1998,1949.99,2359.54,0,Japan,SUP-BLI-W8D,12,13.09,TRUE,2/11/2021,Premium,11/16/2024
SUS-2409-7405,TANABE Chassis Brace Kit (Mitsubishi Lancer Evolution VIII/IX),TANABE,Suspension & Handling,Mitsubishi Lancer Evolution VIII/IX,2003–2007,1112.25,1782.06,11,Japan,SUP-TAN-7R9,12,5.65,FALSE,9/23/2024,Standard,9/3/2024
ENG-2401-1257,Tomei Turbocharger Kit (Nissan Silvia S15),Tomei,Engine & Performance,Nissan Silvia S15,1999–2002,2450.36,3479.79,39,Japan,SUP-TOM-TS6,0,22.25,FALSE,1/21/2024,Standard,26/10/2024
ENG-2007-7712,TANABE Camshaft Set (Mazda RX-7 FD3S),TANABE,Engine & Performance,Mazda RX-7 FD3S,1992–2002,1759.95,2282.56,58,Japan,SUP-TAN-RDD,12,15.56,FALSE,7/26/2020,Premium,20240401
ENH-1801-7906,GReddy ECU Tuning Module (Mazda RX-7 FD3S),GReddy,Engine & Performance,Mazda RX-7 FD3S,1992–2002,2594.8,3131.43,14,Japan,SUP-GRE-MGN,12,14.41,FALSE,1/13/2018,Standard,25-Jul-24
BRK-2405-9526,Tomei Brake Fluid High Temp (Nissan Silvia S15),Tomei,Brakes & Rotors,Nissan Silvia S15,1999–2002,314.13,418.11,0,Japan,SUP-TOM-98N,24,2.1,FALSE,5/31/2024,Standard,9/1/2024
ENG-2002-9356,GReddy Pistons Forged Set (Toyota 86 / Subaru BRZ (ZN6/ZC6)),GReddy,Engine & Performance,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,950.88,1271.89,7,Japan,SUP-GRE-TVT,12,4.85,FALSE,2/16/2020,Standard,11/26/2024
EXH-2503-4208,Mugen Resonated Mid-Pipe (Nissan Skyline R32 GT-R),Mugen,Exhaust & Intake,Nissan Skyline R32 GT-R,1989–1994,537.52,727.83,23,Japan,SUP-MUG-QVJ,12,4.53,FALSE,3/7/2025,Standard,9/27/2024
SUS-1804-9142,Endless Stabilizer Sway Bar (Mitsubishi Lancer Evolution VIII/IX),Endless,Suspension & Handling,Mitsubishi Lancer Evolution VIII/IX,2003–2007,1717.12,2180.82,11,Japan,SUP-END-WAS,12,17.03,FALSE,4/1/2018,Premium,19-Nov-24
ENG-2509-7498,Cusco Camshaft Set (Honda Civic Type R (FK8)),Cusco,Engine & Performance,Honda Civic Type R (FK8),2017–2021,3100.11,4348.27,21,Japan,SUP-CUS-476,24,4.27,TRUE,9/8/2025,Standard,9-Jul-24
BRK-2008-8300,NISMO Brake Master Cylinder (Nissan Skyline R32 GT-R),NISMO,Brakes & Rotors,Nissan Skyline R32 GT-R,1989–1994,274.52,374.14,175,Japan,SUP-NIS-19F,24,4,TRUE,8/23/2020,Budget,14/03/2024
ENG-2308-2085,HKS Boost Controller (Nissan Skyline R34 GT-R),HKS,Engine & Performance,Nissan Skyline R34 GT-R,1999–2002,3015.33,3834.02,16,Japan,SUP-HKS-6P6,12,18.31,FALSE,8/9/2023,Standard,14/10/2024
EXT-2211-1193,Bride Tow Hook (Honda Civic Type R (FK8)),Bride,Exterior & Aerodynamics,Honda Civic Type R (FK8),2017–2021,176.68,262.65,4,Japan,SUP-BRI-WZI,12,6.6,TRUE,11/5/2022,Standard,20240718
TRN-2106-9332,Tomei Driveshaft (Subaru Impreza WRX/STI (GD)),Tomei,Transmission & Drivetrain,Subaru Impreza WRX/STI (GD),2001–2007,603.82,813.93,11,Japan,SUP-TOM-BJM,12,9.67,FALSE,6/15/2021,Standard,11/3/2024
TRN-2109-4094,Fujitsubo Driveshaft (Nissan Skyline R34 GT-R),Fujitsubo,Transmission & Drivetrain,Nissan Skyline R34 GT-R,1999–2002,153.13,207.58,17,Japan,SUP-FUJ-NBT,12,11.42,FALSE,9/20/2021,Standard,11/27/2024
EXH-2010-5920,Kansai Service Downpipe (Nissan Skyline R32 GT-R),Kansai Service,Exhaust & Intake,Nissan Skyline R32 GT-R,1989–1994,825.39,1124.12,16,Japan,SUP-KAN-IRF,12,13.59,FALSE,10/13/2020,Budget,6-Oct-24
TRN-1712-6613,NISMO Limited Slip Differential (Toyota 86 / Subaru BRZ (ZN6/ZC6)),NISMO,Transmission & Drivetrain,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,2448.48,3102.54,4,Japan,SUP-NIS-NX0,12,13.55,FALSE,12/30/2017,Premium,24-Apr-24
BRK-1810-6063,Bride Stainless Brake Lines (Toyota 86 / Subaru BRZ (ZN6/ZC6)),Bride,Brakes & Rotors,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,256.05,340.41,4,Taiwan,SUP-BRI-AH7,12,11.5,FALSE,10/1/2018,Standard,22-Jul-24
EXT-2409-7932,Tomei Widebody Fender Kit (Honda Civic Type R (EK9)),Tomei,Exterior & Aerodynamics,Honda Civic Type R (EK9),1997–2000,1133.76,1649.39,52,Japan,SUP-TOM-1QE,12,7.07,FALSE,9/12/2024,Budget,4-Sep-24
SUS-2208-4542,NISMO Pillowball Top Mounts (Honda Civic Type R (EK9)),NISMO,Suspension & Handling,Honda Civic Type R (EK9),1997–2000,1812.23,2386.22,14,Japan,SUP-NIS-3Y3,12,16.27,FALSE,8/20/2022,Premium,9/7/2024
SUS-2303-6431,Apexi Stabilizer Sway Bar (Honda Civic Type R (FK8)),Apexi,Suspension & Handling,Honda Civic Type R (FK8),2017–2021,595.49,766.53,142,Japan,SUP-APE-17P,12,10.83,FALSE,3/2/2023,Standard,20241016
EXT-2302-6443,HKS Canard Set (Toyota 86 / Subaru BRZ (ZN6/ZC6)),HKS,Exterior & Aerodynamics,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,1343.94,1701.64,17,Japan,SUP-HKS-72I,24,11.16,TRUE,2/14/2023,Premium,21/07/2024
EXH-2305-6806,Mugen Intake Air Filter Kit (Mitsubishi Lancer Evolution VIII/IX),Mugen,Exhaust & Intake,Mitsubishi Lancer Evolution VIII/IX,2003–2007,1134.6,1547.19,23,Japan,SUP-MUG-2FN,6,15.89,FALSE,5/5/2023,Standard,20240319
ENG-1911-6916,Endless Head Gasket Kit (Mitsubishi Lancer Evolution VIII/IX),Endless,Engine & Performance,Mitsubishi Lancer Evolution VIII/IX,2003–2007,927.71,1348.8,92,Japan,SUP-END-LD5,12,16.08,FALSE,11/15/2019,Budget,5/11/2024
EXT-2204-3134,OS Giken Front Lip Spoiler (Mitsubishi Lancer Evolution VIII/IX),OS Giken,,Mitsubishi Lancer Evolution VIII/IX,2003–2007,439.8,574.83,6,Japan,SUP-OSG-U5W,24,7.56,FALSE,4/5/2022,Budget,20240113
SUS-2209-5044,TANABE Subframe Reinforcement (Nissan Skyline R32 GT-R),TANABE,Suspension & Handling,Nissan Skyline R32 GT-R,1989–1994,1366.79,1777.49,8,Japan,SUP-TAN-J0M,6,7.46,FALSE,9/24/2022,Premium,24/05/2024
TRN-2008-8908,BLITZ Clutch Kit (Honda Civic Type R (EK9)),BLITZ,Transmission & Drivetrain,Honda Civic Type R (EK9),1997–2000,1318.5,1868.24,78,Japan,SUP-BLI-4HI,0,20.71,FALSE,8/15/2020,Standard,2/12/2024
SUS-2003-3685,Mugen Chassis Brace Kit (Honda Civic Type R (EK9)),Mugen,Suspension & Handling,Honda Civic Type R (EK9),1997–2000,1181.13,1606.13,13,Japan,SUP-MUG-0YP,12,4.29,TRUE,3/6/2020,Premium,10/22/2024
SUT-2211-6537,Tomei Coilover Kit (Honda Civic Type R (FK8)),Tomei,Suspension & Handling,Honda Civic Type R (FK8),2017–2021,220.19,330.32,11,Japan,SUP-TOM-7JC,24,9.82,FALSE,11/3/2022,Budget,18/06/2024
EXH-2508-6569,TEIN Resonated Mid-Pipe (Mazda RX-7 FD3S),TEIN,Exhaust & Intake,Mazda RX-7 FD3S,1992–2002,2183.7,2743.53,165,Japan,SUP-TEI-V4E,12,8.18,FALSE,8/29/2025,Premium,7/4/2024
SUS-1701-8942,TEIN Pillowball Top Mounts (Toyota Supra JZA80),TEIN,Suspension & Handling,Toyota Supra JZA80,1993–2002,1242.54,1715.85,2,Japan,SUP-TEI-3WH,12,14.55,FALSE,1/27/2017,Standard,20240902
TRN-1709-7281,Project Mu Transmission Mounts (Toyota 86 / Subaru BRZ (ZN6/ZC6)),Project Mu,Transmission & Drivetrain,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,1777.35,2624.33,30,Japan,SUP-PRO-D6V,24,16.88,FALSE,9/15/2017,Premium,2-Feb-24
ENG-2106-3710,BLITZ Intercooler Kit (Nissan Skyline R32 GT-R),BLITZ,Engine & Performance,Nissan Skyline R32 GT-R,1989–1994,2131.48,2791.54,69,Japan,SUP-BLI-B7A,6,4.04,FALSE,6/11/2021,Standard,8/9/2024
ENG-2505-8454,Exedy Oil Cooler Kit (Nissan Skyline R34 GT-R),Exedy,Engine & Performance,Nissan Skyline R34 GT-R,1999–2002,2233.35,2930.61,7,Japan,SUP-EXE-UC8,24,22.38,FALSE,5/26/2025,Budget,5/9/2024
TRN-1706-1160,Project Mu Gear Set (Honda Civic Type R (FK8)),Project Mu,Transmission & Drivetrain,Honda Civic Type R (FK8),2017–2021,1829.56,2374.04,8,Japan,SUP-PRO-S1N,12,4.18,FALSE,6/2/2017,Standard,1-Mar-24
ENG-2205-1608,Bride Boost Controller (Honda Civic Type R (FK8)),Bride,Engine & Performance,Honda Civic Type R (FK8),2017–2021,1058.27,1516.07,10,Japan,SUP-BRI-54H,24,14.6,FALSE,5/13/2022,Premium,4-Nov-24
ENG-2107-8678,HKS Oil Pump High-Flow (Nissan Skyline R32 GT-R),HKS,Engine & Performance,Nissan Skyline R32 GT-R,1989–1994,3083.45,3870.26,3,Japan,SUP-HKS-LCQ,12,17.01,FALSE,7/2/2021,Standard,20240610
ENG-2110-8781,Apexi Camshaft Set (Mazda RX-7 FD3S),Apexi,Engine & Performance,Mazda RX-7 FD3S,1992–2002,1392.77,2005.02,53,Japan,SUP-APE-42X,0,6.75,FALSE,10/25/2021,Standard,20240301
ENG-1901-6420,TANABE Oil Pump High-Flow (Nissan Silvia S15),TANABE,Engine & Performance,Nissan Silvia S15,1999–2002,1522.44,1964.09,17,Japan,SUP-TAN-KEX,12,19.46,FALSE,1/28/2019,Standard,4/6/2024
EXH-2106-9431,TANABE Exhaust Manifold (Nissan Skyline R32 GT-R),TANABE,Exhaust & Intake,Nissan Skyline R32 GT-R,1989–1994,741.48,970.58,3,Japan,SUP-TAN-CPE,12,2.79,FALSE,6/12/2021,Standard,7/5/2024
ENG-1712-4291,Fujitsubo Oil Pump High-Flow (Nissan Silvia S15),Fujitsubo,Engine & Performance,Nissan Silvia S15,1999–2002,2644.95,3442.39,18,Japan,SUP-FUJ-8IM,12,3.68,FALSE,12/16/2017,Standard,14-Jul-24
EXH-2112-9548,Endless Air Box (Toyota 86 / Subaru BRZ (ZN6/ZC6)),Endless,Exhaust & Intake,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,568.95,716.91,15,Japan,SUP-END-XBT,12,17.07,FALSE,12/4/2021,Standard,3/15/2024
ENG-2408-9007,Tomei Pistons Forged Set (Toyota Supra JZA80),Tomei,Engine & Performance,Toyota Supra JZA80,1993–2002,1864.82,2448.92,1,Japan,SUP-TOM-Q5D,24,16.24,FALSE,8/27/2024,Budget,20240823
ENG-2404-4094,Endless Oil Cooler Kit (Mitsubishi Lancer Evolution VIII/IX),Endless,Engine & Performance,Mitsubishi Lancer Evolution VIII/IX,2003–2007,2063.49,2692.67,59,Japan,SUP-END-QB8,6,14.08,FALSE,4/5/2024,Premium,25/08/2024
EXH-2003-6799,Cusco High-Flow Catalytic Converter (Toyota 86 / Subaru BRZ (ZN6/ZC6)),Cusco,Exhaust & Intake,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,1429.26,1971.99,7,Japan,SUP-CUS-HUC,12,7.63,FALSE,3/8/2020,Standard,6/5/2024
ENG-1708-1303,Tomei Oil Cooler Kit (Toyota 86 / Subaru BRZ (ZN6/ZC6)),Tomei,Engine & Performance,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,3240.96,4373.38,50,Japan,SUP-TOM-XZR,0,18.16,TRUE,8/3/2017,Standard,20/04/2024
SUS-2012-9942,RAYS Strut Bar Front (Subaru Impreza WRX/STI (GD)),RAYS,Suspension & Handling,Subaru Impreza WRX/STI (GD),2001–2007,1124.22,1492.35,63,Japan,SUP-RAY-GFM,12,18.07,FALSE,12/14/2020,Standard,20240216
EXT-2402-9679,Kansai Service Tow Hook (Toyota Supra JZA80),Kansai Service,Exterior & Aerodynamics,Toyota Supra JZA80,1993–2002,637.49,805.01,7,Japan,SUP-KAN-I4U,12,14.11,FALSE,2/22/2024,Standard,16/11/2024
TRN-2109-7631,OS Giken Transmission Mounts (Nissan Skyline R32 GT-R),OS Giken,Transmission & Drivetrain,Nissan Skyline R32 GT-R,1989–1994,1409.43,1799.7,15,Japan,SUP-OSG-V9C,6,15.21,FALSE,9/29/2021,Standard,13-Feb-24
EXH-2402-2527,Project Mu High-Flow Catalytic Converter (Toyota 86 / Subaru BRZ (ZN6/ZC6)),Project Mu,Exhaust & Intake,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,1364.81,1856.62,22,Japan,SUP-PRO-KJF,0,3.46,FALSE,2/8/2024,Standard,7/7/2024
EXH-1801-1146,Project Mu Exhaust Manifold (Nissan Skyline R32 GT-R),Project Mu,Exhaust & Intake,Nissan Skyline R32 GT-R,1989–1994,2037.55,2713.58,0,Japan,SUP-PRO-4E8,0,12.58,FALSE,1/31/2018,Premium,20241010
ENG-2210-6308,RAYS Boost Controller (Honda Civic Type R (EK9)),RAYS,Engine & Performance,Honda Civic Type R (EK9),1997–2000,1252.85,1710.15,17,Japan,SUP-RAY-E1E,24,19.48,FALSE,10/17/2022,Standard,19-Jul-24
BRK-1703-3430,Tomei Handbrake Drift Button (Honda Civic Type R (EK9)),Tomei,Brakes & Rotors,Honda Civic Type R (EK9),1997–2000,1728.43,2224.35,4,Taiwan,SUP-TOM-LC3,0,4.41,FALSE,3/25/2017,Premium,20241227
TRN-1906-2004,OS Giken Shift Knob Weighted (Honda Civic Type R (EK9)),OS Giken,Transmission & Drivetrain,Honda Civic Type R (EK9),1997–2000,1515.06,2166.98,10,Japan,SUP-OSG-1WQ,12,12.62,FALSE,6/10/2019,Premium,10/11/2024
EXT-1808-3475,Spoon Front Bumper Duct (Honda Civic Type R (FK8)),Spoon,Exterior & Aerodynamics,Honda Civic Type R (FK8),2017–2021,1038.27,1398.31,0,Japan,SUP-SPO-NRV,6,8.67,FALSE,8/15/2018,Standard,3/10/2024
TRN-2502-7661,Koyo Short Shifter (Mitsubishi Lancer Evolution VIII/IX),Koyo,Transmission & Drivetrain,Mitsubishi Lancer Evolution VIII/IX,2003–2007,1047.25,1349.13,9,Japan,SUP-KOY-0YG,12,13.17,FALSE,2/22/2025,Budget,10/10/2024
ENG-1909-4334,HKS Intercooler Kit (Mazda RX-7 FD3S),HKS,Engine & Performance,Mazda RX-7 FD3S,1992–2002,2587.52,3453.92,10,Japan,SUP-HKS-YNU,12,4.92,TRUE,9/11/2019,Standard,20240722
 EXH-2106-5450 ,Exedy Exhaust Manifold (Toyota 86 / Subaru BRZ (ZN6/ZC6)),Exedy,Exhaust & Intake,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,1668.07,2296.56,18,Japan,SUP-EXE-XX3,24,12.55,TRUE,6/27/2021,Standard,20241212
TRN-1810-2421,Kansai Service Shift Knob Weighted (Mitsubishi Lancer Evolution VIII/IX),Kansai Service,Transmission & Drivetrain,Mitsubishi Lancer Evolution VIII/IX,2003–2007,2013.12,2697.42,22,Japan,SUP-KAN-ZEN,12,15.84,FALSE,10/18/2018,Premium,15/10/2024
SUS-1901-9177,TEIN Camber Kit (Toyota Supra JZA80),TEIN,Suspension & Handling,Toyota Supra JZA80,1993–2002,405.05,529.56,132,Japan,SUP-TEI-86X,12,16.3,FALSE,1/20/2019,Premium,2/2/2024
