Effective_Month,Customer_Category,Min_Discount,Max_Discount,Standard_Discount,Promo_Discount,Seasonal_Event,Date_Approved,Remarks,Discount_Percent
2014-04,Dealer / Reseller,0,0.05,0.026,,,3/29/2014,,0.1
2014-04,Dealer / Reseller,0.045,0.12,0.084,,,3/31/2014,Aligned with supplier rebate,0.1
2014-04,Dealer / Reseller,0.108,0.22,0.152,,,3/30/2014,Aligned with supplier rebate,0.1
2014-04,Dealer / Reseller,0.135,0.28,0.217,,,3/28/2014,Quarterly adjustment,—
2014-04,Motorsport Team,0,0.048,0.024,,,3/29/2014,FX hedged; stable pricing,"0,1"
2014-04,Motorsport Team,0.043,0.114,0.08,,,3/24/2014,Quarterly adjustment,0.1
2014-04,Motorsport Team,0.102,0.209,0.159,,,3/23/2014,FX hedged; stable pricing,0.1
2014-04,Motorsport Team,0.128,0.266,0.2,,,3/31/2014,Inventory clearance,0.1
2014-04,Distributor / Importer,0,0.045,0.021,,,3/23/2014,FX hedged; stable pricing,0.1
2014-04,Distributor / Importer,0.04,0.108,0.072,,,3/23/2014,FX hedged; stable pricing,—
2014-04,Distributor / Importer,0.096,0.198,0.136,,,3/29/2014,Inventory clearance,0.1
2014-04,Distributor / Importer,0.12,0.252,0.173,,,3/28/2014,FX hedged; stable pricing,0.1
2014-05,Retail Enthusiast,0,0.06,0.032,,,4/24/2014,Inventory clearance,0.1
2014-05,Retail Enthusiast,0.055,0.144,0.105,,,4/23/2014,Quarterly adjustment,0.1
2014-05,Retail Enthusiast,0.132,0.264,0.208,,,4/23/2014,Quarterly adjustment,10
2014-05,Retail Enthusiast,0.165,0.336,0.272,0.402,Golden Week Promo,4/24/2014,,10.00%
2014-05,Workshop / Garage,0,0.055,0.028,,,4/28/2014,Quarterly adjustment,0.1
2014-05,Workshop / Garage,0.05,0.132,0.094,,,4/22/2014,Quarterly adjustment,0.1
2014-05,Workshop / Garage,0.12,0.242,0.186,,,4/22/2014,Aligned with supplier rebate,"0,1"
2014-05,Workshop / Garage,0.15,0.308,0.213,0.356,Golden Week Promo,4/29/2014,,10
2014-05,Dealer / Reseller,0,0.05,0.027,,,4/26/2014,Aligned with supplier rebate,"0,1"
2014-05,Dealer / Reseller,0.045,0.12,0.078,,,4/24/2014,Aligned with supplier rebate,fifteen
2014-05,Dealer / Reseller,0.108,0.22,0.16,,,4/24/2014,Quarterly adjustment,0.1
2014-05,Dealer / Reseller,0.135,0.28,0.202,0.32,Golden Week Promo,4/24/2014,,0.1
2014-05,Motorsport Team,0,0.048,0.022,,,4/22/2014,,120
2014-05,Motorsport Team,0.043,0.114,0.072,,,4/27/2014,Quarterly adjustment,0.1
2014-05,Motorsport Team,0.102,0.209,0.157,,,4/26/2014,Quarterly adjustment,0.1
2014-05,Motorsport Team,0.128,0.266,0.216,0.295,Golden Week Promo,4/27/2014,,10.00%
2014-05,Distributor / Importer,0,0.045,0.021,,,4/28/2014,Aligned with supplier rebate,0.1
2014-05,Distributor / Importer,0.04,0.108,0.075,,,4/23/2014,Aligned with supplier rebate,0.1
2014-05,Distributor / Importer,0.096,0.198,0.139,,,4/30/2014,FX hedged; stable pricing,0.1
2014-05,Distributor / Importer,0.12,0.252,0.175,0.265,Golden Week Promo,4/30/2014,Inventory clearance,0.1
2014-06,Retail Enthusiast,0,0.06,0.03,,,5/26/2014,FX hedged; stable pricing,0.1
2014-06,Retail Enthusiast,0.055,0.144,0.108,,,5/24/2014,,0.1
2014-06,Retail Enthusiast,0.132,0.264,0.197,,,5/25/2014,,0.1
2014-06,Retail Enthusiast,0.165,0.336,0.25,,,5/28/2014,,0.1
2014-06,Workshop / Garage,0,0.055,0.025,,,5/27/2014,,0.1
2014-06,Workshop / Garage,0.05,0.132,0.092,,,5/24/2014,,fifteen
2014-06,Workshop / Garage,0.12,0.242,0.192,,,5/27/2014,Inventory clearance,0.1
2014-06,Workshop / Garage,0.15,0.308,0.25,,,5/27/2014,Inventory clearance,0.1
2014-06,Dealer / Reseller,0,0.05,0.026,,,5/25/2014,Aligned with supplier rebate,0.1
2014-06,Dealer / Reseller,0.045,0.12,0.083,,,5/30/2014,,0.1
2014-06,Dealer / Reseller,0.108,0.22,0.165,,,5/28/2014,,—
2014-06,Dealer / Reseller,0.135,0.28,0.207,,,5/26/2014,Quarterly adjustment,"0,1"
2014-06,Motorsport Team,0,0.048,0.026,,,5/30/2014,Aligned with supplier rebate,0.1
2014-06,Motorsport Team,0.043,0.114,0.082,,,5/31/2014,Aligned with supplier rebate,0.1
2014-06,Motorsport Team,0.102,0.209,0.147,,,5/30/2014,,0.1
2014-06,Motorsport Team,0.128,0.266,0.202,,,5/29/2014,FX hedged; stable pricing,0.1
2014-06,Distributor / Importer,0,0.045,0.024,,,5/30/2014,Quarterly adjustment,0.1
2014-06,Distributor / Importer,0.04,0.108,0.074,,,5/30/2014,Inventory clearance,10.00%
2014-06,Distributor / Importer,0.096,0.198,0.151,,,5/31/2014,Quarterly adjustment,0.1
2014-06,Distributor / Importer,0.12,0.252,0.187,,,5/30/2014,FX hedged; stable pricing,0.1
2014-07,Retail Enthusiast,0,0.06,0.029,,,6/24/2014,FX hedged; stable pricing,"0,1"
2014-07,Retail Enthusiast,0.055,0.144,0.109,,,6/22/2014,FX hedged; stable pricing,0.1
2014-07,Retail Enthusiast,0.132,0.264,0.193,,,6/29/2014,Inventory clearance,10.00%
2014-07,Retail Enthusiast,0.165,0.336,0.228,,,6/25/2014,Aligned with supplier rebate,0.1
2014-07,Workshop / Garage,0,0.055,0.029,,,6/25/2014,Aligned with supplier rebate,120
2014-07,Workshop / Garage,0.05,0.132,0.1,,,6/26/2014,Inventory clearance,"0,1"
2014-07,Workshop / Garage,0.12,0.242,0.172,,,6/24/2014,FX hedged; stable pricing,0.1
2014-07,Workshop / Garage,0.15,0.308,0.213,,,6/23/2014,FX hedged; stable pricing,120
2014-07,Dealer / Reseller,0,0.05,0.027,,,6/28/2014,Quarterly adjustment,0.1
2014-07,Dealer / Reseller,0.045,0.12,0.076,,,6/28/2014,FX hedged; stable pricing,0.1
2014-07,Dealer / Reseller,0.108,0.22,0.159,,,6/28/2014,Quarterly adjustment,0.1
2014-07,Dealer / Reseller,0.135,0.28,0.193,,,6/29/2014,,—
2014-07,Motorsport Team,0,0.048,0.024,,,6/22/2014,Aligned with supplier rebate,0.1
2014-07,Motorsport Team,0.043,0.114,0.083,,,6/23/2014,Quarterly adjustment,0.1
2014-07,Motorsport Team,0.102,0.209,0.151,,,6/29/2014,Inventory clearance,0.1
2014-07,Motorsport Team,0.128,0.266,0.18,,,6/25/2014,,0.1
2014-07,Distributor / Importer,0,0.045,0.022,,,6/27/2014,,0.1
2014-07,Distributor / Importer,0.04,0.108,0.07,,,6/25/2014,,0.1
2014-07,Distributor / Importer,0.096,0.198,0.153,,,6/23/2014,Quarterly adjustment,0.1
2014-07,Distributor / Importer,0.12,0.252,0.193,,,6/23/2014,FX hedged; stable pricing,0.1
2014-08,Retail Enthusiast,0,0.06,0.028,,,7/30/2014,,0.1
2014-08,Retail Enthusiast,0.055,0.144,0.107,,,7/26/2014,Aligned with supplier rebate,10
2014-08,Retail Enthusiast,0.132,0.264,0.192,,,7/29/2014,Aligned with supplier rebate,0.1
2014-08,Retail Enthusiast,0.165,0.336,0.246,0.36,Summer Tuning Sale,7/29/2014,Quarterly adjustment,0.1
2014-08,Workshop / Garage,0,0.055,0.03,,,7/27/2014,,10
2014-08,Workshop / Garage,0.05,0.132,0.098,,,7/25/2014,Aligned with supplier rebate,0.1
2014-08,Workshop / Garage,0.12,0.242,0.18,,,7/26/2014,Inventory clearance,0.1
2014-08,Workshop / Garage,0.15,0.308,0.243,0.362,Summer Tuning Sale,7/31/2014,Aligned with supplier rebate,0.1
2014-08,Dealer / Reseller,0,0.05,0.024,,,7/27/2014,Inventory clearance,0.1
2014-08,Dealer / Reseller,0.045,0.12,0.085,,,7/28/2014,Inventory clearance,0.1
2014-08,Dealer / Reseller,0.108,0.22,0.163,,,7/24/2014,,0.1
2014-08,Dealer / Reseller,0.135,0.28,0.188,0.324,Summer Tuning Sale,7/31/2014,Aligned with supplier rebate,0.1
2014-08,Motorsport Team,0,0.048,0.024,,,7/28/2014,Quarterly adjustment,-5
2014-08,Motorsport Team,0.043,0.114,0.082,,,7/25/2014,FX hedged; stable pricing,0.1
2014-08,Motorsport Team,0.102,0.209,0.151,,,7/29/2014,,0.1
2014-08,Motorsport Team,0.128,0.266,0.189,0.286,Summer Tuning Sale,7/30/2014,FX hedged; stable pricing,0.1
2014-08,Distributor / Importer,0,0.045,0.024,,,7/29/2014,Aligned with supplier rebate,"0,1"
2014-08,Distributor / Importer,0.04,0.108,0.081,,,7/26/2014,FX hedged; stable pricing,0.1
2014-08,Distributor / Importer,0.096,0.198,0.135,,,7/25/2014,,0.1
2014-08,Distributor / Importer,0.12,0.252,0.197,0.279,Summer Tuning Sale,7/27/2014,Quarterly adjustment,0.1
2014-09,Retail Enthusiast,0,0.06,0.029,,,8/30/2014,,0.1
2014-09,Retail Enthusiast,0.055,0.144,0.102,,,8/29/2014,Quarterly adjustment,0.1
2014-09,Retail Enthusiast,0.132,0.264,0.181,,,8/25/2014,Quarterly adjustment,0.1
2014-09,Retail Enthusiast,0.165,0.336,0.269,,,8/30/2014,Quarterly adjustment,—
2014-09,Workshop / Garage,0,0.055,0.027,,,8/29/2014,Aligned with supplier rebate,0.1
2014-09,Workshop / Garage,0.05,0.132,0.091,,,8/26/2014,Quarterly adjustment,0.1
2014-09,Workshop / Garage,0.12,0.242,0.197,,,8/31/2014,Inventory clearance,"0,1"
2014-09,Workshop / Garage,0.15,0.308,0.218,,,8/24/2014,Quarterly adjustment,0.1
2014-09,Dealer / Reseller,0,0.05,0.025,,,8/30/2014,Quarterly adjustment,0.1
2014-09,Dealer / Reseller,0.045,0.12,0.084,,,8/25/2014,Aligned with supplier rebate,0.1
2014-09,Dealer / Reseller,0.108,0.22,0.176,,,8/25/2014,,0.1
2014-09,Dealer / Reseller,0.135,0.28,0.197,,,8/31/2014,Aligned with supplier rebate,0.1
2014-09,Motorsport Team,0,0.048,0.024,,,8/26/2014,,0.1
2014-09,Motorsport Team,0.043,0.114,0.086,,,8/26/2014,,10.00%
2014-09,Motorsport Team,0.102,0.209,0.153,,,8/31/2014,,0.1
2014-09,Motorsport Team,0.128,0.266,0.184,,,8/29/2014,Quarterly adjustment,0.1
2014-09,Distributor / Importer,0,0.045,0.022,,,8/24/2014,Aligned with supplier rebate,0.1
2014-09,Distributor / Importer,0.04,0.108,0.069,,,8/24/2014,Aligned with supplier rebate,0.1
2014-09,Distributor / Importer,0.096,0.198,0.139,,,8/26/2014,FX hedged; stable pricing,fifteen
2014-09,Distributor / Importer,0.12,0.252,0.193,,,8/26/2014,Aligned with supplier rebate,0.1
2014-10,Retail Enthusiast,0,0.06,0.027,,,9/26/2014,FX hedged; stable pricing,10
2014-10,Retail Enthusiast,0.055,0.144,0.092,,,9/25/2014,Inventory clearance,0.1
2014-10,Retail Enthusiast,0.132,0.264,0.184,,,9/29/2014,FX hedged; stable pricing,10
2014-10,Retail Enthusiast,0.165,0.336,0.269,,,9/23/2014,,0.1
2014-10,Workshop / Garage,0,0.055,0.03,,,9/30/2014,Aligned with supplier rebate,0.1
2014-10,Workshop / Garage,0.05,0.132,0.098,,,9/30/2014,FX hedged; stable pricing,—
2014-10,Workshop / Garage,0.12,0.242,0.188,,,9/27/2014,Aligned with supplier rebate,0.1
2014-10,Workshop / Garage,0.15,0.308,0.219,,,9/22/2014,Inventory clearance,0.1
2014-10,Dealer / Reseller,0,0.05,0.024,,,9/28/2014,Quarterly adjustment,0.1
2014-10,Dealer / Reseller,0.045,0.12,0.09,,,9/27/2014,FX hedged; stable pricing,0.1
2014-10,Dealer / Reseller,0.108,0.22,0.167,,,9/25/2014,,10
2014-10,Dealer / Reseller,0.135,0.28,0.21,,,9/24/2014,,0.1
2014-10,Motorsport Team,0,0.048,0.025,,,9/28/2014,Quarterly adjustment,0.1
2014-10,Motorsport Team,0.043,0.114,0.076,,,9/27/2014,Inventory clearance,0.1
2014-10,Motorsport Team,0.102,0.209,0.168,,,9/28/2014,,fifteen
2014-10,Motorsport Team,0.128,0.266,0.186,,,9/23/2014,Quarterly adjustment,—
2014-10,Distributor / Importer,0,0.045,0.023,,,9/23/2014,,0.1
2014-10,Distributor / Importer,0.04,0.108,0.071,,,9/25/2014,FX hedged; stable pricing,0.1
2014-10,Distributor / Importer,0.096,0.198,0.153,,,9/28/2014,FX hedged; stable pricing,10.00%
2014-10,Distributor / Importer,0.12,0.252,0.186,,,9/27/2014,Aligned with supplier rebate,—
2014-11,Retail Enthusiast,0,0.06,0.032,,,10/30/2014,Quarterly adjustment,0.1
2014-11,Retail Enthusiast,0.055,0.144,0.107,,,10/29/2014,Quarterly adjustment,fifteen
2014-11,Retail Enthusiast,0.132,0.264,0.198,,,10/24/2014,FX hedged; stable pricing,0.1
2014-11,Retail Enthusiast,0.165,0.336,0.231,0.368,Black Friday Sale,10/30/2014,,"0,1"
2014-11,Workshop / Garage,0,0.055,0.026,,,10/24/2014,,-5
2014-11,Workshop / Garage,0.05,0.132,0.091,,,10/27/2014,,10.00%
2014-11,Workshop / Garage,0.12,0.242,0.176,,,10/31/2014,FX hedged; stable pricing,0.1
2014-11,Workshop / Garage,0.15,0.308,0.251,0.339,Black Friday Sale,10/24/2014,,0.1
2014-11,Dealer / Reseller,0,0.05,0.026,,,10/31/2014,Inventory clearance,0.1
2014-11,Dealer / Reseller,0.045,0.12,0.087,,,10/29/2014,,120
2014-11,Dealer / Reseller,0.108,0.22,0.169,,,10/24/2014,Aligned with supplier rebate,—
2014-11,Dealer / Reseller,0.135,0.28,0.223,0.322,Black Friday Sale,10/23/2014,Aligned with supplier rebate,0.1
2014-11,Motorsport Team,0,0.048,0.024,,,10/24/2014,,0.1
2014-11,Motorsport Team,0.043,0.114,0.072,,,10/30/2014,FX hedged; stable pricing,0.1
2014-11,Motorsport Team,0.102,0.209,0.169,,,10/28/2014,Inventory clearance,0.1
2014-11,Motorsport Team,0.128,0.266,0.204,0.311,Black Friday Sale,10/28/2014,Quarterly adjustment,0.1
2014-11,Distributor / Importer,0,0.045,0.024,,,10/25/2014,Quarterly adjustment,0.1
2014-11,Distributor / Importer,0.04,0.108,0.074,,,10/26/2014,FX hedged; stable pricing,0.1
2014-11,Distributor / Importer,0.096,0.198,0.146,,,10/31/2014,Quarterly adjustment,0.1
2014-11,Distributor / Importer,0.12,0.252,0.169,0.283,Black Friday Sale,10/27/2014,Quarterly adjustment,0.1
2014-12,Retail Enthusiast,0,0.06,0.027,,,11/25/2014,Quarterly adjustment,10
2014-12,Retail Enthusiast,0.055,0.144,0.092,,,11/24/2014,Quarterly adjustment,0.1
2014-12,Retail Enthusiast,0.132,0.264,0.198,,,11/29/2014,Aligned with supplier rebate,0.1
2014-12,Retail Enthusiast,0.165,0.336,0.233,0.374,Year-End Clearance,11/24/2014,FX hedged; stable pricing,0.1
2014-12,Workshop / Garage,0,0.055,0.025,,,11/29/2014,Quarterly adjustment,0.1
2014-12,Workshop / Garage,0.05,0.132,0.09,,,11/30/2014,Aligned with supplier rebate,10
2014-12,Workshop / Garage,0.12,0.242,0.188,,,11/28/2014,Aligned with supplier rebate,—
2014-12,Workshop / Garage,0.15,0.308,0.234,0.35,Year-End Clearance,11/30/2014,Aligned with supplier rebate,"0,1"
2014-12,Dealer / Reseller,0,0.05,0.026,,,11/28/2014,Quarterly adjustment,0.1
2014-12,Dealer / Reseller,0.045,0.12,0.078,,,11/23/2014,Aligned with supplier rebate,0.1
2014-12,Dealer / Reseller,0.108,0.22,0.18,,,11/24/2014,FX hedged; stable pricing,0.1
2014-12,Dealer / Reseller,0.135,0.28,0.201,0.302,Year-End Clearance,11/28/2014,FX hedged; stable pricing,0.1
2014-12,Motorsport Team,0,0.048,0.024,,,11/22/2014,Inventory clearance,0.1
2014-12,Motorsport Team,0.043,0.114,0.082,,,11/28/2014,FX hedged; stable pricing,10
2014-12,Motorsport Team,0.102,0.209,0.165,,,11/25/2014,FX hedged; stable pricing,—
2014-12,Motorsport Team,0.128,0.266,0.205,0.284,Year-End Clearance,11/22/2014,Quarterly adjustment,0.1
2014-12,Distributor / Importer,0,0.045,0.022,,,11/24/2014,,0.1
2014-12,Distributor / Importer,0.04,0.108,0.077,,,11/30/2014,Inventory clearance,"0,1"
2014-12,Distributor / Importer,0.096,0.198,0.133,,,11/25/2014,Aligned with supplier rebate,fifteen
2014-12,Distributor / Importer,0.12,0.252,0.176,0.27,Year-End Clearance,11/28/2014,FX hedged; stable pricing,0.1
2015-01,Retail Enthusiast,0,0.06,0.032,,,12/30/2014,Aligned with supplier rebate,0.1
2015-01,Retail Enthusiast,0.055,0.144,0.102,,,12/25/2014,,0.1
2015-01,Retail Enthusiast,0.132,0.264,0.184,,,12/24/2014,Quarterly adjustment,0
2015-01,Retail Enthusiast,0.165,0.336,0.275,0.378,New Year Clearance,12/30/2014,Quarterly adjustment,0.1
2015-01,Workshop / Garage,0,0.055,0.027,,,12/30/2014,Quarterly adjustment,0.1
2015-01,Workshop / Garage,0.05,0.132,0.1,,,12/24/2014,Inventory clearance,0.1
2015-01,Workshop / Garage,0.12,0.242,0.191,,,12/27/2014,FX hedged; stable pricing,10
2015-01,Workshop / Garage,0.15,0.308,0.218,0.342,New Year Clearance,12/31/2014,Inventory clearance,0.1
2015-01,Dealer / Reseller,0,0.05,0.024,,,12/26/2014,Aligned with supplier rebate,0.1
2015-01,Dealer / Reseller,0.045,0.12,0.084,,,12/26/2014,Aligned with supplier rebate,0.1
2015-01,Dealer / Reseller,0.108,0.22,0.159,,,12/28/2014,Quarterly adjustment,fifteen
2015-01,Dealer / Reseller,0.135,0.28,0.188,0.325,New Year Clearance,12/31/2014,FX hedged; stable pricing,0.1
2015-01,Motorsport Team,0,0.048,0.023,,,12/24/2014,Quarterly adjustment,0.1
2015-01,Motorsport Team,0.043,0.114,0.077,,,12/25/2014,FX hedged; stable pricing,0.1
2015-01,Motorsport Team,0.102,0.209,0.169,,,12/29/2014,Quarterly adjustment,0.1
2015-01,Motorsport Team,0.128,0.266,0.19,0.29,New Year Clearance,12/28/2014,Inventory clearance,0.1
2015-01,Distributor / Importer,0,0.045,0.025,,,12/28/2014,Quarterly adjustment,fifteen
2015-01,Distributor / Importer,0.04,0.108,0.079,,,12/27/2014,FX hedged; stable pricing,0.1
2015-01,Distributor / Importer,0.096,0.198,0.138,,,12/29/2014,,0.1
2015-01,Distributor / Importer,0.12,0.252,0.173,0.298,New Year Clearance,12/29/2014,Aligned with supplier rebate,"0,1"
2015-02,Retail Enthusiast,0,0.06,0.032,,,1/24/2015,Aligned with supplier rebate,"0,1"
2015-02,Retail Enthusiast,0.055,0.144,0.102,,,1/28/2015,Aligned with supplier rebate,0.1
2015-02,Retail Enthusiast,0.132,0.264,0.208,,,1/30/2015,Inventory clearance,0.1
2015-02,Retail Enthusiast,0.165,0.336,0.256,,,1/26/2015,Aligned with supplier rebate,120
2015-02,Workshop / Garage,0,0.055,0.028,,,1/27/2015,Inventory clearance,0.1
2015-02,Workshop / Garage,0.05,0.132,0.099,,,1/23/2015,Aligned with supplier rebate,10
2015-02,Workshop / Garage,0.12,0.242,0.176,,,1/23/2015,Aligned with supplier rebate,0.1
2015-02,Workshop / Garage,0.15,0.308,0.217,,,1/27/2015,FX hedged; stable pricing,0.1
2015-02,Dealer / Reseller,0,0.05,0.026,,,1/24/2015,Quarterly adjustment,fifteen
2015-02,Dealer / Reseller,0.045,0.12,0.086,,,1/28/2015,Inventory clearance,0.1
2015-02,Dealer / Reseller,0.108,0.22,0.153,,,1/30/2015,FX hedged; stable pricing,0.1
2015-02,Dealer / Reseller,0.135,0.28,0.225,,,1/27/2015,FX hedged; stable pricing,0.1
2015-02,Motorsport Team,0,0.048,0.024,,,1/27/2015,Quarterly adjustment,10
2015-02,Motorsport Team,0.043,0.114,0.085,,,1/31/2015,Quarterly adjustment,-5
2015-02,Motorsport Team,0.102,0.209,0.141,,,1/30/2015,Quarterly adjustment,0.1
2015-02,Motorsport Team,0.128,0.266,0.215,,,1/25/2015,FX hedged; stable pricing,0.1
2015-02,Distributor / Importer,0,0.045,0.021,,,1/29/2015,FX hedged; stable pricing,fifteen
2015-02,Distributor / Importer,0.04,0.108,0.074,,,1/24/2015,Aligned with supplier rebate,0.1
2015-02,Distributor / Importer,0.096,0.198,0.144,,,1/24/2015,,0.1
2015-02,Distributor / Importer,0.12,0.252,0.192,,,1/23/2015,Inventory clearance,0.1
2015-03,Retail Enthusiast,0,0.06,0.028,,,2/21/2015,Aligned with supplier rebate,0.1
2015-03,Retail Enthusiast,0.055,0.144,0.095,,,2/27/2015,Quarterly adjustment,—
2015-03,Retail Enthusiast,0.132,0.264,0.19,,,2/24/2015,Inventory clearance,0.1
2015-03,Retail Enthusiast,0.165,0.336,0.235,,,2/27/2015,FX hedged; stable pricing,fifteen
2015-03,Workshop / Garage,0,0.055,0.025,,,2/24/2015,,0.1
2015-03,Workshop / Garage,0.05,0.132,0.084,,,2/26/2015,FX hedged; stable pricing,0.1
